魄概ID,林巩老磊,淬寸磊,瘤开,措府痢,力前内靛,窜啊,荐樊,且牢啦,陛咀
62,2021-02-13,冠泅荐,堡林,51,8,"278,400",100,0.1,"25,056,000"
63,2021-02-14,辫蛮柳,堡林,22,4,"239,880",57,0.1,"12,305,844"
64,2021-02-14,辫家固,堡林,1,27,"306,000",24,0,"7,344,000"
65,2021-02-15,捞铰泅,堡林,49,19,"43,188",112,0.1,"4,353,350"
66,2021-02-15,捞铰泅,堡林,49,15,"25,884",92,0.1,"2,143,195"
67,2021-02-16,巩技辣,堡林,23,49,"15,588",2,0.1,"28,058"
68,2021-02-16,冠柳酋,堡林,11,38,"93,216",113,0.1,"9,480,067"
69,2021-02-19,辣措泅,堡林,8,16,"34,788",23,0,"800,124"
70,2021-02-19,救沥绕,堡林,16,69,"27,480",85,0.1,"2,102,220"
71,2021-02-20,辫傣绕,堡林,26,75,"23,880",4,0.1,"85,968"
72,2021-02-20,冠柳酋,堡林,3,56,"160,800",40,0.1,"5,788,800"
73,2021-02-21,巩技辣,堡林,25,45,"39,588",84,0.1,"2,992,853"
74,2021-02-21,救沥绕,堡林,6,43,"115,140",15,0,"1,727,100"
75,2021-02-22,辫蛮柳,堡林,20,1,"239,880",21,0,"5,037,480"
76,2021-02-22,碍悼盔,堡林,44,38,"93,216",52,0.1,"4,362,509"
77,2021-02-23,急窍扼,堡林,12,34,"71,988",51,0,"3,671,388"
78,2021-02-26,坷康荐,堡林,31,18,"34,788",21,0,"730,548"
79,2021-02-26,辫家固,堡林,2,15,"25,884",27,0.1,"628,981"
80,2021-02-27,救沥绕,堡林,17,56,"160,800",120,0.1,"17,366,400"
81,2021-02-27,辫家固,堡林,1,11,"17,424",73,0,"1,271,952"
82,2021-02-28,辫家固,堡林,37,18,"34,788",120,0,"4,174,560"
83,2021-02-28,坷康荐,堡林,31,25,"306,000",62,0,"18,972,000"
84,2021-03-01,冠泅荐,堡林,51,4,"239,880",117,0,"28,065,960"
85,2021-03-02,辣措泅,堡林,34,9,"278,400",25,0,"6,960,000"
86,2021-03-02,救沥绕,堡林,6,75,"23,880",114,0.1,"2,450,088"
87,2021-03-05,辣措泅,堡林,35,39,"93,216",24,0.1,"2,013,466"
88,2021-03-06,辫傣绕,堡林,27,38,"93,216",35,0.1,"2,936,304"
89,2021-03-06,辫蛮柳,堡林,22,63,"14,280",94,0.1,"1,208,088"
90,2021-03-07,辣措泅,堡林,34,11,"17,424",118,0.1,"1,850,429"
91,2021-03-07,急窍扼,堡林,12,71,"27,480",77,0.1,"1,904,364"
92,2021-03-08,辫蛮柳,堡林,22,13,"25,884",107,0,"2,769,588"
93,2021-03-08,巩技辣,堡林,24,18,"34,788",6,0.1,"187,855"
94,2021-03-09,救沥绕,堡林,16,73,"63,480",114,0,"7,236,720"
95,2021-03-12,辣措泅,堡林,14,8,"278,400",77,0.1,"19,293,120"
96,2021-03-12,辣措泅,堡林,34,22,"20,388",59,0.1,"1,082,603"
97,2021-03-13,辣措泅,堡林,35,33,"71,988",9,0,"647,892"
98,2021-03-13,救沥绕,堡林,5,36,"71,988",2,0.1,"129,578"
99,2021-03-14,辣措泅,堡林,14,78,"59,988",55,0.1,"2,969,406"
100,2021-03-14,辫傣绕,堡林,29,76,"23,880",14,0,"334,320"
101,2021-03-15,巩技辣,堡林,25,65,"14,280",67,0.1,"861,084"
102,2021-03-15,碍悼盔,堡林,44,76,"23,880",38,0.1,"816,696"
103,2021-03-16,碍悼盔,堡林,45,21,"43,188",83,0,"3,584,604"
104,2021-03-16,辫家固,堡林,37,15,"25,884",29,0,"750,636"
105,2021-03-19,辫傣绕,堡林,27,78,"59,988",77,0.1,"4,157,168"
106,2021-03-19,巩技辣,堡林,24,35,"71,988",69,0,"4,967,172"
107,2021-03-20,辣措泅,堡林,14,58,"160,800",114,0.1,"16,498,080"
108,2021-03-20,辫家固,堡林,2,20,"43,188",31,0,"1,338,828"
109,2021-03-21,辫傣绕,堡林,26,53,"359,076",81,0,"29,085,156"
110,2021-03-21,辣措泅,堡林,9,15,"25,884",8,0.1,"186,365"
111,2021-03-22,辫傣绕,堡林,29,34,"71,988",79,0,"5,687,052"
112,2021-03-22,巩技辣,堡林,24,11,"17,424",7,0.2,"97,574"
113,2021-03-23,辫家固,堡林,1,18,"34,788",48,0,"1,669,824"
114,2021-03-23,辫傣绕,堡林,28,44,"39,588",42,0.1,"1,496,426"
115,2021-03-26,辣措泅,堡林,15,32,"43,188",78,0.1,"3,031,798"
116,2021-03-26,辣措泅,堡林,34,43,"115,140",64,0.1,"6,632,064"
117,2021-03-27,辣措泅,堡林,35,19,"43,188",109,0.1,"4,236,743"
118,2021-03-27,急窍扼,堡林,12,27,"306,000",1,0.1,"275,400"
119,2021-03-28,辣措泅,堡林,34,40,"93,216",60,0,"5,592,960"
120,2021-03-28,辣措泅,堡林,15,45,"39,588",102,0.1,"3,634,178"
121,2021-03-29,碍悼盔,堡林,43,48,"26,400",63,0,"1,663,200"
122,2021-03-29,救沥绕,堡林,6,12,"25,884",3,0,"77,652"
123,2021-03-30,冠泅荐,堡林,50,34,"71,988",41,0,"2,951,508"
124,2021-03-30,辣措泅,堡林,34,19,"43,188",91,0.1,"3,537,097"
125,2021-04-02,辣措泅,堡林,34,24,"20,388",53,0.1,"972,508"
126,2021-04-02,弥家扼,堡林,18,22,"20,388",55,0.1,"1,009,206"
127,2021-04-03,冠泅荐,堡林,50,47,"26,400",47,0,"1,240,800"
128,2021-04-03,急窍扼,堡林,38,48,"26,400",46,0,"1,214,400"
129,2021-04-04,急窍扼,堡林,12,51,"359,076",96,0,"34,471,296"
130,2021-04-05,坷康荐,堡林,31,8,"278,400",23,0,"6,403,200"
131,2021-04-05,冠泅荐,堡林,50,61,"131,940",113,0,"14,909,220"
132,2021-04-06,碍悼盔,堡林,44,49,"15,588",110,0.1,"1,543,212"
133,2021-04-06,辑悼刮,堡林,40,66,"21,480",25,0,"537,000"
134,2021-04-09,辣措泅,堡林,15,75,"23,880",30,0.1,"644,760"
135,2021-04-09,坷康荐,堡林,30,52,"359,076",47,0,"16,876,572"
136,2021-04-10,辫蛮柳,堡林,20,72,"63,480",3,0.1,"171,396"
137,2021-04-11,救沥绕,堡林,6,74,"63,480",64,0.1,"3,656,448"
138,2021-04-12,急窍扼,堡林,12,18,"34,788",35,0.1,"1,095,822"
139,2021-04-12,辣措泅,堡林,34,21,"43,188",113,0.1,"4,392,220"
140,2021-04-13,碍悼盔,堡林,45,20,"43,188",84,0.1,"3,265,013"
141,2021-04-13,辫蛮柳,堡林,21,70,"27,480",51,0,"1,401,480"
142,2021-04-16,辣措泅,堡林,15,66,"21,480",107,0.1,"2,068,524"
143,2021-04-16,蜡啊阑,堡林,41,3,"239,880",14,0.1,"3,022,488"
144,2021-04-17,弥家扼,堡林,18,45,"39,588",16,0.1,"570,067"
145,2021-04-17,冠柳酋,堡林,7,20,"43,188",24,0,"1,036,512"
146,2021-04-18,辣措泅,堡林,10,70,"27,480",21,0,"577,080"
147,2021-04-18,辫傣绕,堡林,29,17,"34,788",22,0,"765,336"
148,2021-04-19,辫傣绕,堡林,28,38,"93,216",16,0.1,"1,342,310"
149,2021-04-19,辣措泅,堡林,9,31,"43,188",105,0,"4,534,740"
150,2021-04-20,辫蛮柳,堡林,20,25,"306,000",104,0,"31,824,000"
151,2021-04-20,碍悼盔,堡林,43,19,"43,188",51,0,"2,202,588"
152,2021-04-23,碍悼盔,堡林,45,71,"27,480",101,0.1,"2,497,932"
153,2021-04-23,救沥绕,堡林,39,19,"43,188",54,0,"2,332,152"
154,2021-04-24,救沥绕,堡林,16,74,"63,480",26,0.1,"1,485,432"
155,2021-04-25,辣措泅,堡林,33,34,"71,988",20,0.1,"1,295,784"
156,2021-04-26,冠泅荐,堡林,51,3,"239,880",59,0.1,"12,737,628"
157,2021-04-26,辫家固,堡林,2,59,"131,940",79,0,"10,423,260"
158,2021-04-27,辫傣绕,堡林,29,54,"359,076",46,0,"16,517,496"
159,2021-04-30,冠柳酋,堡林,52,47,"26,400",58,0.1,"1,378,080"
160,2021-04-30,冠柳酋,堡林,3,45,"39,588",94,0.2,"2,977,018"
161,2021-05-01,坷康荐,堡林,31,1,"239,880",16,0,"3,838,080"
162,2021-05-01,捞铰泅,堡林,49,21,"43,188",88,0,"3,800,544"
163,2021-05-02,救沥绕,堡林,16,37,"93,216",67,0.1,"5,620,925"
164,2021-05-02,辣措泅,堡林,35,5,"239,880",74,0.1,"15,976,008"
165,2021-05-03,辣措泅,堡林,8,3,"239,880",1,0.2,"191,904"
166,2021-05-03,急窍扼,堡林,38,7,"278,400",95,0.1,"23,803,200"
167,2021-05-04,巩技辣,堡林,25,67,"21,480",95,0.1,"1,836,540"
168,2021-05-07,辣措泅,堡林,33,47,"26,400",34,0.1,"807,840"
169,2021-05-07,碍悼盔,堡林,43,64,"14,280",86,0,"1,228,080"
170,2021-05-08,辣措泅,堡林,14,23,"20,388",68,0.1,"1,247,746"
171,2021-05-08,急窍扼,堡林,38,68,"21,480",43,0.1,"831,276"
172,2021-05-09,弥家扼,堡林,18,77,"23,880",101,0.1,"2,170,692"
173,2021-05-10,碍悼盔,堡林,45,3,"239,880",31,0,"7,436,280"
174,2021-05-10,碍悼盔,堡林,43,6,"278,400",62,0,"17,260,800"
175,2021-05-11,巩技辣,堡林,24,52,"359,076",23,0,"8,258,748"
176,2021-05-11,辫蛮柳,堡林,21,19,"43,188",70,0,"3,023,160"
177,2021-05-14,坷康荐,堡林,32,24,"20,388",90,0,"1,834,920"
178,2021-05-14,急窍扼,堡林,13,39,"93,216",35,0.1,"2,936,304"
179,2021-05-15,辣措泅,堡林,34,41,"115,140",108,0.1,"11,191,608"
180,2021-05-16,冠柳酋,堡林,7,29,"306,000",75,0.1,"20,655,000"
181,2021-05-17,辣措泅,堡林,15,75,"23,880",42,0.1,"902,664"
182,2021-05-18,辑悼刮,堡林,40,49,"15,588",8,0.1,"112,234"
183,2021-05-18,辫蛮柳,堡林,21,17,"34,788",87,0,"3,026,556"
184,2021-05-21,坷康荐,堡林,32,69,"27,480",48,0,"1,319,040"
185,2021-05-21,巩技辣,堡林,24,48,"26,400",117,0,"3,088,800"
186,2021-05-22,辣措泅,堡林,35,30,"43,188",38,0.1,"1,477,030"
187,2021-05-22,辣措泅,堡林,33,57,"160,800",23,0.1,"3,328,560"
188,2021-05-23,冠柳酋,堡林,52,7,"278,400",103,0.1,"25,807,680"
189,2021-05-23,碍悼盔,堡林,44,45,"39,588",39,0,"1,543,932"
190,2021-05-24,辫蛮柳,堡林,22,63,"14,280",98,0,"1,399,440"
191,2021-05-24,辫家固,堡林,2,77,"23,880",74,0.2,"1,413,696"
192,2021-05-25,坷康荐,堡林,31,34,"71,988",68,0.1,"4,405,666"
193,2021-05-25,救沥绕,堡林,39,20,"43,188",28,0,"1,209,264"
194,2021-05-28,巩技辣,堡林,23,22,"20,388",77,0.1,"1,412,888"
195,2021-05-28,辣措泅,堡林,33,57,"160,800",77,0,"12,381,600"
196,2021-05-29,辣措泅,堡林,10,51,"359,076",4,0,"1,436,304"
197,2021-05-29,捞铰泅,堡林,49,5,"239,880",110,0.1,"23,748,120"
198,2021-05-30,辫蛮柳,堡林,19,19,"43,188",13,0,"561,444"
199,2021-05-30,冠柳酋,堡林,4,25,"306,000",29,0.2,"7,099,200"
200,2021-05-31,辫傣绕,堡林,27,2,"239,880",21,0.1,"4,533,732"
201,2021-05-31,辣措泅,堡林,10,5,"239,880",86,0.1,"18,566,712"
202,2021-06-01,辣措泅,堡林,35,12,"25,884",60,0.1,"1,397,736"
203,2021-06-01,巩技辣,堡林,24,59,"131,940",115,0.1,"13,655,790"
204,2021-06-04,辫傣绕,堡林,28,44,"39,588",26,0.1,"926,359"
205,2021-06-04,坷康荐,堡林,30,41,"115,140",52,0.1,"5,388,552"
206,2021-06-05,辫蛮柳,堡林,20,29,"306,000",11,0.1,"3,029,400"
207,2021-06-05,巩技辣,堡林,23,67,"21,480",94,0.1,"1,817,208"
208,2021-06-06,辫蛮柳,堡林,20,34,"71,988",24,0,"1,727,712"
209,2021-06-06,辫傣绕,堡林,28,36,"71,988",96,0,"6,910,848"
210,2021-06-07,救沥绕,堡林,17,24,"20,388",111,0.1,"2,036,761"
211,2021-06-07,辣措泅,堡林,35,45,"39,588",53,0.1,"1,888,348"
212,2021-06-08,辫傣绕,堡林,26,56,"160,800",78,0.1,"11,288,160"
213,2021-06-08,冠柳酋,堡林,7,6,"278,400",75,0.1,"18,792,000"
214,2021-06-11,急窍扼,堡林,13,38,"93,216",65,0.1,"5,453,136"
215,2021-06-12,救沥绕,堡林,6,49,"15,588",10,0,"155,880"
216,2021-06-13,碍悼盔,堡林,45,50,"15,588",85,0,"1,324,980"
217,2021-06-13,巩技辣,堡林,24,74,"63,480",16,0.1,"914,112"
218,2021-06-14,辣措泅,堡林,33,1,"239,880",60,0.1,"12,953,520"
219,2021-06-14,巩技辣,堡林,24,20,"43,188",52,0,"2,245,776"
220,2021-06-15,辫蛮柳,堡林,21,52,"359,076",105,0,"37,702,980"
221,2021-06-15,辣措泅,堡林,36,22,"20,388",105,0.1,"1,926,666"
222,2021-06-18,辫傣绕,堡林,28,19,"43,188",108,0.1,"4,197,874"
223,2021-06-18,坷康荐,堡林,32,64,"14,280",110,0,"1,570,800"
224,2021-06-19,辫蛮柳,堡林,21,64,"14,280",13,0,"185,640"
225,2021-06-19,急窍扼,堡林,38,13,"25,884",71,0.1,"1,653,988"
226,2021-06-20,碍悼盔,堡林,43,4,"239,880",12,0,"2,878,560"
227,2021-06-20,辣措泅,堡林,35,9,"278,400",60,0.1,"15,033,600"
228,2021-06-21,捞铰泅,堡林,49,17,"34,788",50,0.1,"1,565,460"
229,2021-06-21,坷康荐,堡林,32,7,"278,400",32,0.1,"8,017,920"
230,2021-06-22,辫傣绕,堡林,26,54,"359,076",16,0.1,"5,170,694"
231,2021-06-22,捞铰泅,堡林,49,49,"15,588",3,0,"46,764"
232,2021-06-25,救沥绕,堡林,17,63,"14,280",119,0.1,"1,529,388"
233,2021-06-25,急窍扼,堡林,38,73,"63,480",116,0.1,"6,627,312"
234,2021-06-26,捞铰泅,堡林,49,37,"93,216",107,0.1,"8,976,701"
235,2021-06-26,坷康荐,堡林,31,10,"278,400",115,0.1,"28,814,400"
236,2021-06-27,碍悼盔,堡林,44,36,"71,988",3,0,"215,964"
237,2021-06-27,冠泅荐,堡林,50,21,"43,188",36,0,"1,554,768"
238,2021-06-28,辣措泅,堡林,10,39,"93,216",81,0,"7,550,496"
239,2021-06-29,巩技辣,堡林,25,60,"131,940",69,0.1,"8,193,474"
240,2021-06-29,辣措泅,堡林,15,2,"239,880",34,0.2,"6,524,736"
241,2021-07-02,蜡啊阑,堡林,41,44,"39,588",98,0.1,"3,491,662"
242,2021-07-02,辣措泅,堡林,14,41,"115,140",24,0,"2,763,360"
243,2021-07-03,救沥绕,堡林,17,34,"71,988",46,0,"3,311,448"
244,2021-07-03,碍悼盔,堡林,45,50,"15,588",10,0,"155,880"
245,2021-07-04,辣措泅,堡林,14,39,"93,216",74,0,"6,897,984"
246,2021-07-04,巩技辣,堡林,25,4,"239,880",55,0.1,"11,874,060"
247,2021-07-05,冠柳酋,堡林,3,73,"63,480",77,0.2,"3,910,368"
248,2021-07-05,辫蛮柳,堡林,21,14,"25,884",78,0,"2,018,952"
249,2021-07-06,巩技辣,堡林,24,31,"43,188",84,0.1,"3,265,013"
250,2021-07-06,救沥绕,堡林,16,10,"278,400",74,0.2,"16,481,280"
251,2021-07-09,巩技辣,堡林,24,67,"21,480",101,0.1,"1,952,532"
252,2021-07-09,救沥绕,堡林,17,31,"43,188",88,0,"3,800,544"
253,2021-07-10,辣措泅,堡林,10,47,"26,400",76,0,"2,006,400"
254,2021-07-10,弥家扼,堡林,18,70,"27,480",77,0,"2,115,960"
255,2021-07-11,救沥绕,堡林,17,40,"93,216",20,0.1,"1,677,888"
256,2021-07-11,碍悼盔,堡林,43,19,"43,188",120,0,"5,182,560"
257,2021-07-12,急窍扼,堡林,12,10,"278,400",31,0.1,"7,767,360"
258,2021-07-12,弥家扼,堡林,18,67,"21,480",93,0,"1,997,640"
259,2021-07-13,碍悼盔,堡林,43,51,"359,076",104,0,"37,343,904"
260,2021-07-13,坷康荐,堡林,32,53,"359,076",119,0.1,"38,457,040"
261,2021-07-16,冠柳酋,堡林,4,45,"39,588",56,0.2,"1,773,542"
262,2021-07-16,坷康荐,堡林,30,12,"25,884",77,0.1,"1,793,761"
263,2021-07-17,坷康荐,堡林,31,33,"71,988",11,0,"791,868"
264,2021-07-17,急窍扼,堡林,12,38,"93,216",21,0,"1,957,536"
265,2021-07-18,辫蛮柳,堡林,19,78,"59,988",93,0.1,"5,020,996"
266,2021-07-18,救沥绕,堡林,16,7,"278,400",106,0.1,"26,559,360"
267,2021-07-19,辫家固,堡林,37,47,"26,400",73,0,"1,927,200"
268,2021-07-19,捞铰泅,堡林,49,57,"160,800",111,0.1,"16,063,920"
269,2021-07-20,急窍扼,堡林,38,37,"93,216",29,0.1,"2,432,938"
270,2021-07-23,碍悼盔,堡林,44,56,"160,800",53,0,"8,522,400"
271,2021-07-23,冠泅荐,堡林,51,17,"34,788",60,0.1,"1,878,552"
272,2021-07-24,辫傣绕,堡林,29,69,"27,480",5,0.1,"123,660"
273,2021-07-25,碍悼盔,堡林,43,31,"43,188",29,0.1,"1,127,207"
274,2021-07-25,救沥绕,堡林,16,27,"306,000",1,0,"306,000"
275,2021-07-26,救沥绕,堡林,39,61,"131,940",92,0,"12,138,480"
276,2021-07-27,急窍扼,堡林,38,3,"239,880",96,0.1,"20,725,632"
277,2021-07-27,冠柳酋,堡林,7,65,"14,280",43,0.1,"552,636"
278,2021-07-30,碍悼盔,堡林,43,70,"27,480",39,0,"1,071,720"
279,2021-07-30,坷康荐,堡林,31,50,"15,588",117,0.1,"1,641,416"
280,2021-07-31,救沥绕,堡林,16,77,"23,880",105,0,"2,507,400"
281,2021-07-31,辣措泅,堡林,8,61,"131,940",80,0.1,"9,499,680"
282,2021-08-01,辫蛮柳,堡林,19,9,"278,400",91,0,"25,334,400"
283,2021-08-01,弥家扼,堡林,18,60,"131,940",104,0.1,"12,349,584"
284,2021-08-02,冠柳酋,堡林,11,9,"278,400",74,0,"20,601,600"
285,2021-08-02,辫傣绕,堡林,26,40,"93,216",24,0.1,"2,013,466"
286,2021-08-03,碍悼盔,堡林,43,30,"43,188",8,0.1,"310,954"
287,2021-08-03,辫蛮柳,堡林,21,2,"239,880",62,0.1,"13,385,304"
288,2021-08-06,辫蛮柳,堡林,21,13,"25,884",19,0,"491,796"
289,2021-08-06,辣措泅,堡林,14,29,"306,000",74,0,"22,644,000"
290,2021-08-07,辫家固,堡林,37,37,"93,216",17,0.1,"1,426,205"
291,2021-08-08,辣措泅,堡林,9,78,"59,988",18,0.1,"971,806"
292,2021-08-08,急窍扼,堡林,12,64,"14,280",111,0,"1,585,080"
293,2021-08-09,辫蛮柳,堡林,20,20,"43,188",37,0.1,"1,438,160"
294,2021-08-09,救沥绕,堡林,17,45,"39,588",116,0,"4,592,208"
295,2021-08-10,巩技辣,堡林,23,20,"43,188",112,0.1,"4,353,350"
296,2021-08-10,救沥绕,堡林,5,60,"131,940",87,0,"11,478,780"
297,2021-08-13,蜡啊阑,堡林,41,6,"278,400",3,0.1,"751,680"
298,2021-08-13,急窍扼,堡林,12,65,"14,280",101,0,"1,442,280"
299,2021-08-14,辫家固,堡林,37,42,"115,140",113,0,"13,010,820"
300,2021-08-14,巩技辣,堡林,24,63,"14,280",6,0,"85,680"
301,2021-08-15,坷康荐,堡林,32,7,"278,400",49,0.1,"12,277,440"
302,2021-08-16,辫家固,堡林,37,24,"20,388",18,0,"366,984"
303,2021-08-16,急窍扼,堡林,38,54,"359,076",93,0,"33,394,068"
304,2021-08-17,救沥绕,堡林,6,2,"239,880",32,0.1,"6,908,544"
305,2021-08-17,坷康荐,堡林,31,59,"131,940",70,0.1,"8,312,220"
306,2021-08-20,辣措泅,堡林,33,27,"306,000",83,0,"25,398,000"
307,2021-08-20,碍悼盔,堡林,45,21,"43,188",79,0.1,"3,070,667"
308,2021-08-21,辫蛮柳,堡林,20,52,"359,076",64,0.1,"20,682,778"
309,2021-08-21,辣措泅,堡林,36,74,"63,480",18,0.1,"1,028,376"
310,2021-08-22,辣措泅,堡林,8,52,"359,076",37,0,"13,285,812"
311,2021-08-22,救沥绕,堡林,39,9,"278,400",57,0.1,"14,281,920"
312,2021-08-23,辣措泅,堡林,33,17,"34,788",27,0.1,"845,348"
313,2021-08-23,冠柳酋,堡林,3,13,"25,884",105,0,"2,717,820"
314,2021-08-24,救沥绕,堡林,17,32,"43,188",61,0.1,"2,371,021"
315,2021-08-24,辣措泅,堡林,34,5,"239,880",93,0.1,"20,077,956"
316,2021-08-27,辣措泅,堡林,33,27,"306,000",13,0,"3,978,000"
317,2021-08-27,辫傣绕,堡林,27,30,"43,188",55,0.1,"2,137,806"
318,2021-08-28,坷康荐,堡林,32,16,"34,788",39,0.1,"1,221,059"
319,2021-08-29,辫傣绕,堡林,27,21,"43,188",32,0.1,"1,243,814"
320,2021-08-29,冠柳酋,堡林,52,39,"93,216",34,0,"3,169,344"
321,2021-08-30,坷康荐,堡林,32,67,"21,480",27,0.1,"521,964"
322,2021-08-30,辣措泅,堡林,9,13,"25,884",49,0.1,"1,141,484"
323,2021-08-31,坷康荐,堡林,31,56,"160,800",8,0.1,"1,157,760"
324,2021-08-31,救沥绕,堡林,39,73,"63,480",34,0.1,"1,942,488"
325,2021-09-03,辑悼刮,堡林,40,44,"39,588",114,0.1,"4,061,729"
326,2021-09-03,辫蛮柳,堡林,20,70,"27,480",81,0,"2,225,880"
327,2021-09-04,急窍扼,堡林,12,73,"63,480",79,0,"5,014,920"
328,2021-09-04,辫蛮柳,堡林,19,12,"25,884",78,0.1,"1,817,057"
329,2021-09-05,辣措泅,堡林,10,77,"23,880",105,0.1,"2,256,660"
330,2021-09-05,辫傣绕,堡林,28,11,"17,424",24,0,"418,176"
331,2021-09-06,辫蛮柳,堡林,20,43,"115,140",43,0.1,"4,455,918"
332,2021-09-06,冠柳酋,堡林,3,40,"93,216",2,0.1,"167,789"
333,2021-09-07,碍悼盔,堡林,45,40,"93,216",65,0.1,"5,453,136"
334,2021-09-07,辣措泅,堡林,33,1,"239,880",9,0,"2,158,920"
335,2021-09-10,辣措泅,堡林,10,71,"27,480",71,0,"1,951,080"
336,2021-09-10,辣措泅,堡林,33,66,"21,480",112,0,"2,405,760"
